518078 function calls (514214 primitive calls) in 7.743 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       58    0.000    0.000    0.000    0.000 app.py:181(_write_hyperlink_base)
       58    0.000    0.000    0.000    0.000 app.py:190(_write_hyperlinks_changed)
       58    0.000    0.000    0.000    0.000 app.py:194(_write_app_version)
       58    0.000    0.000    0.001    0.000 app.py:25(__init__)
       58    0.000    0.000    0.000    0.000 app.py:37(_add_part_name)
      116    0.000    0.000    0.000    0.000 app.py:41(_add_heading_pair)
       58    0.000    0.000    0.000    0.000 app.py:52(_set_properties)
       58    0.001    0.000    0.038    0.001 app.py:62(_assemble_xml_file)
        1    0.000    0.000    0.000    0.000 app.py:9(<module>)
       58    0.000    0.000    0.001    0.000 app.py:93(_write_properties)
       58    0.000    0.000    0.001    0.000 base.py:1012(_ndarray_values)
       58    0.000    0.000    0.002    0.000 base.py:1185(__iter__)
      116    0.000    0.000    0.000    0.000 base.py:1355(_get_names)
      116    0.000    0.000    0.001    0.000 base.py:180(construct_from_string)
       58    0.000    0.000    0.001    0.000 base.py:1826(is_object)
      986    0.002    0.000    0.008    0.000 base.py:231(is_dtype)
  232/116    0.006    0.000    0.037    0.000 base.py:277(__new__)
       58    0.000    0.000    0.000    0.000 base.py:3901(values)
      232    0.000    0.000    0.000    0.000 base.py:3923(_values)
       58    0.003    0.000    0.005    0.000 base.py:4228(__contains__)
       58    0.000    0.000    0.006    0.000 base.py:4297(_can_hold_identifiers_and_holds_name)
       58    0.000    0.000    0.000    0.000 base.py:4377(equals)
      116    0.001    0.000    0.001    0.000 base.py:569(_simple_new)
      290    0.000    0.000    0.000    0.000 base.py:5707(ensure_index)
       58    0.000    0.000    0.000    0.000 base.py:681(is_)
      116    0.000    0.000    0.000    0.000 base.py:700(_reset_identity)
       58    0.001    0.000    0.002    0.000 base.py:710(_engine)
       58    0.000    0.000    0.000    0.000 base.py:717(<lambda>)
      754    0.000    0.000    0.000    0.000 base.py:723(__len__)
       58    0.000    0.000    0.000    0.000 base.py:747(dtype)
        1    0.000    0.000    0.000    0.000 binary.py:148(__new__)
      118    0.000    0.000    0.000    0.000 binary.py:158(subtype)
       58    0.000    0.000    0.000    0.000 book.py:461(sheet_by_index)
       58    0.001    0.000    0.001    0.000 book.py:562(__init__)
       58    0.000    0.000    0.000    0.000 book.py:656(initialise_format_info)
       58    0.000    0.000    0.000    0.000 bre2_NAT.py:60(sorted_nicely)
       58    0.000    0.000    0.000    0.000 bre2_NAT.py:67(Remove)
        1    0.132    0.132    7.743    7.743 bre2_NAT.py:74(main)
        1    0.000    0.000    0.021    0.021 cElementTree.py:3(<module>)
      116    0.001    0.000    0.002    0.000 cast.py:1239(construct_1d_object_array_from_listlike)
        1    0.001    0.001    0.001    0.001 chart.py:21(Chart)
        1    0.000    0.000    0.001    0.001 chart.py:7(<module>)
        1    0.000    0.000    0.000    0.000 chart_area.py:11(ChartArea)
        1    0.000    0.000    0.004    0.004 chart_area.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_bar.py:12(ChartBar)
        1    0.000    0.000    0.000    0.000 chart_bar.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_column.py:11(ChartColumn)
        1    0.000    0.000    0.000    0.000 chart_column.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_doughnut.py:12(ChartDoughnut)
        1    0.000    0.000    0.002    0.002 chart_doughnut.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_line.py:11(ChartLine)
        1    0.000    0.000    0.000    0.000 chart_line.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_pie.py:12(ChartPie)
        1    0.000    0.000    0.000    0.000 chart_pie.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_radar.py:11(ChartRadar)
        1    0.000    0.000    0.000    0.000 chart_radar.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_scatter.py:12(ChartScatter)
        1    0.000    0.000    0.000    0.000 chart_scatter.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chart_stock.py:11(ChartStock)
        1    0.000    0.000    0.000    0.000 chart_stock.py:8(<module>)
        1    0.000    0.000    0.000    0.000 chartsheet.py:12(Chartsheet)
        1    0.000    0.000    0.000    0.000 chartsheet.py:8(<module>)
      118    0.000    0.000    0.000    0.000 client_options.py:241(retry_reads)
      118    0.000    0.000    0.000    0.000 client_session.py:130(__init__)
      118    0.000    0.000    0.000    0.000 client_session.py:142(causal_consistency)
       61    0.000    0.000    0.000    0.000 client_session.py:239(_validate_session_write_concern)
      118    0.000    0.000    0.000    0.000 client_session.py:288(__init__)
      648    0.001    0.000    0.001    0.000 client_session.py:295(active)
      118    0.000    0.000    0.000    0.000 client_session.py:298(reset)
      118    0.000    0.000    0.001    0.000 client_session.py:337(__init__)
      118    0.000    0.000    0.002    0.000 client_session.py:356(_end_session)
      118    0.000    0.000    0.000    0.000 client_session.py:365(_check_ended)
       60    0.000    0.000    0.000    0.000 client_session.py:369(__enter__)
       60    0.000    0.000    0.002    0.000 client_session.py:372(__exit__)
      118    0.000    0.000    0.000    0.000 client_session.py:382(options)
      118    0.000    0.000    0.000    0.000 client_session.py:393(cluster_time)
      118    0.000    0.000    0.000    0.000 client_session.py:705(_advance_cluster_time)
      118    0.000    0.000    0.000    0.000 client_session.py:728(_advance_operation_time)
      118    0.001    0.000    0.001    0.000 client_session.py:749(_process_response)
      590    0.001    0.000    0.001    0.000 client_session.py:763(_in_transaction)
